sboid;said;validFrom;validTo;organisationNumber;status;descriptionDe;descriptionFr;descriptionIt;descriptionEn;abbreviationDe;abbreviationFr;abbreviationIt;abbreviationEn;businessTypesId;businessTypesDe;businessTypesIt;businessTypesFr;transportCompanyNumber;transportCompanyAbbreviation;transportCompanyBusinessRegisterName;creationTime;editionTime
ch:1:sboid:100048;100048;1900-01-01;9999-12-31;67;VALIDATED;Transports Vallée de Joux-Yverdon-Ste-Croix (oc);Transports Vallée de Joux-Yverdon-Ste-Croix (oc);Transports Vallée de Joux-Yverdon-Ste-Croix (oc);Transports Vallée de Joux-Yverdon-Ste-Croix (oc);TRAVYS-oc;TRAVYS-oc;TRAVYS-oc;TRAVYS-oc;10;Eisenbahn;Ferrovia;Chemin de fer;#0037;TRAVYS;TRAVYS - Transports Vallée-de-Joux - Yverdon-les-Bains - Sainte-Croix S.A.;2022-08-04 14:16:32;2025-01-08 12:52:34
ch:1:sboid:100049;100049;1900-01-01;9999-12-31;68;VALIDATED;Oensingen-Balsthal-Bahn;Oensingen-Balsthal-Bahn;Oensingen-Balsthal-Bahn;Oensingen-Balsthal-Bahn;OeBB;OeBB;OeBB;OeBB;10;Eisenbahn;Ferrovia;Chemin de fer;#0035;OeBB;Oensingen-Balsthal-Bahn AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100050;100050;1900-01-01;9999-12-31;69;VALIDATED;Transports Vallée de Joux-Yverdon-Ste-Croix (pbr);Transports Vallée de Joux-Yverdon-Ste-Croix (pbr);Transports Vallée de Joux-Yverdon-Ste-Croix (pbr);Transports Vallée de Joux-Yverdon-Ste-Croix (pbr);TRAVYS-pbr;TRAVYS-pbr;TRAVYS-pbr;TRAVYS-pbr;10;Eisenbahn;Ferrovia;Chemin de fer;#0037;TRAVYS;TRAVYS - Transports Vallée-de-Joux - Yverdon-les-Bains - Sainte-Croix S.A.;2022-08-04 14:16:32;2025-09-17 09:38:48
ch:1:sboid:100052;100052;1900-01-01;9999-12-31;71;VALIDATED;Appenzeller Bahnen (rhb);Appenzeller Bahnen (rhb);Appenzeller Bahnen (rhb);Appenzeller Bahnen (rhb);AB-rhb;AB-rhb;AB-rhb;AB-rhb;10;Eisenbahn;Ferrovia;Chemin de fer;#0109;AB;Appenzeller Bahnen AG;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:100053;100053;1900-01-01;9999-12-31;72;VALIDATED;Rhätische Bahn;Rhätische Bahn;Rhätische Bahn;Rhätische Bahn;RhB;RhB;RhB;RhB;10;Eisenbahn;Ferrovia;Chemin de fer;#0154;RhB;Rhätische Bahn AG (RhB);2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100054;100054;1900-01-01;9999-12-31;73;VALIDATED;Transports Publics Neuchâtelois SA (rvt);Transports Publics Neuchâtelois SA (rvt);Transports Publics Neuchâtelois SA (rvt);Transports Publics Neuchâtelois SA (rvt);TRN-rvt;TRN-rvt;TRN-rvt;TRN-rvt;10;Eisenbahn;Ferrovia;Chemin de fer;#0047;TRN;Transports Publics Neuchâtelois SA;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100055;100055;1900-01-01;9999-12-31;74;VALIDATED;Regionalps;Regionalps;Regionalps;Regionalps;RA;RA;RA;RA;10;Eisenbahn;Ferrovia;Chemin de fer;#0031;RA;REGIONALPS SA;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100056;100056;1900-01-01;9999-12-31;76;VALIDATED;BLS AG (sez);BLS AG (sez);BLS AG (sez);BLS AG (sez);BLS-sez;BLS-sez;BLS-sez;BLS-sez;10;Eisenbahn;Ferrovia;Chemin de fer;#0016;BLS;BLS AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100058;100058;1900-01-01;9999-12-31;78;VALIDATED;Sihltal-Zürich-Uetliberg-Bahn;Sihltal-Zürich-Uetliberg-Bahn;Sihltal-Zürich-Uetliberg-Bahn;Sihltal-Zürich-Uetliberg-Bahn;SZU;SZU;SZU;SZU;10;Eisenbahn;Ferrovia;Chemin de fer;#0042;SZU;Sihltal Zürich Uetliberg Bahn SZU AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100059;100059;1900-01-01;9999-12-31;79;VALIDATED;BLS AG (smb);BLS AG (smb);BLS AG (smb);BLS AG (smb);BLS-smb;BLS-smb;BLS-smb;BLS-smb;10;Eisenbahn;Ferrovia;Chemin de fer;#0016;BLS;BLS AG;2022-08-04 14:16:30;2022-08-04 14:16:30
